board,decision
      X  ,5
XXOXOO  X,7
  OX X O ,5
XXOOOXX  ,9
X   OXX O,4
 O XO OXX,3
X   XXOO ,9
         ,5
XXOXOO OX,7
         ,1
XX  O XOO,4
  X XO  O,7
         ,5
     X   ,4
X  OX XOO,3
   XO XO ,1
  O XX XO,2
XO       ,5
    X    ,9
XO       ,5
O XXXO O ,7
 X  XOXOO,3
 XX X OO ,9
 OX X O  ,4
X    OO X,5
      X  ,3
     X   ,3
 OOX O XX,7
  X XXO O,8
         ,7
X   OXO X,3
X OX   XO,6
   OX    ,1
OXO O  XX,7
   X     ,1
X OXOO XX,7
 OO OX XX,7
XXO O XOX,4
  X      ,9
  OXX  XO,6
         ,5
   X   O ,5
 OX  X   ,5
OOXOX  XX,7
       X ,5
       X ,5
 OX   X  ,5
X XOX OO ,2
         ,7
X OO XX  ,5
 O OXXX O,3
  XO     ,9
 X   XOO ,3
XO   O  X,5
O XO OXX ,9
     X   ,5
         ,9
 XX  OOXO,1
  X      ,5
 X       ,1
XOO XXXOO,4
X X OOXO ,2
  X  O X ,5
XX OO  X ,6
  X OO X ,4
         ,5
O XOOXX  ,9
 XO  X O ,7
XX OX   O,3
 XOXXO   ,9
         ,9
XXOO OXOX,5
    X O  ,9
OX OXOX  ,8
 OXX OX O,5
X XX  O O,8
OX   X OX,3
XXOXO  XO,7
  O  X  X,1
O   XXO X,4
  OX XOOX,5
   X OO X,3
O OXX    ,6
     X   ,9
         ,8
 X    O  ,1
X O OX  X,7
   OX  OX,1
         ,7
  X      ,6
 XO XO   ,8
OXOXX OOX,6
 X  O XXO,1
         ,1
  XOOXXXO,1
OOX OX X ,9
O  OXX X ,7
OXXO OX X,5
X X O OOX,2
         ,5
  X OX   ,9
 O   XX  ,4
X  XOXOOX,2
OOXX OX  ,5
        X,8
  OX X   ,5
O XXO XOX,2
  OXO  X ,7
OOXXOXX  ,8
 X  OXO  ,3
XOO   XXO,4
XOOX OOXX,5
    O   X,3
  X O    ,9
OO OX X X,8
         ,9
 O XX    ,6
 XXO  OXO,1
 OX      ,5
  XX    O,5
  X OX  O,8
         ,5
         ,5
         ,7
         ,1
XO  XO   ,9
 O      X,5
         ,5
 O   XO X,3
OOXXOX   ,9
OXOXXO  X,8
XO  XOOX ,9
 X     XO,5
  OXX X O,6
XOXOOXOX ,9
XO OXX XO,3
  O   X  ,1
X X OOXO ,2
   O  X  ,2
         ,5
         ,3
O O X OXX,2
OOX OXXX ,9
 OXOXX O ,9
X XXXOO O,8
O      X ,5
OX O   XX,7
 XOX OOXX,5
         ,4
XXO    O ,9
X O   OX ,5
X    O   ,9
    X O  ,1
 O  X X  ,3
 OXOX O X,6
  X      ,5
XX  XOO  ,3
 X       ,3
O X  X O ,9
 XX OX O ,1
   X  O  ,9
XO  XOXXO,3
XO   OX  ,4
XX  XOOO ,9
    XX O ,4
   X     ,7
  X O X  ,9
  O X    ,6
OXX O X  ,9
  X      ,2
X OXX OO ,9
XO    OXX,5
X OO  XXO,6
  X  O   ,4
    O X  ,6
X XO XO  ,2
O  X    X,3
     X   ,5
X     X O,4
 XXOX   O,7
 X   O   ,5
XOXXX O O,8
XOX XO O ,9
  X O    ,1
X X    O ,5
  X      ,5
         ,5
OXXOXX O ,7
 X O X   ,7
     X   ,9
X XX O OO,2
 X OOX OX,3
  O    X ,5
         ,5
   XO    ,3
   O O XX,7
 O  XO  X,1
X    XOXO,5
XX O     ,3
OXOOXOX X,8
XXOO XXOO,5
O X      ,6
O  X     ,5
 XXOXX OO,7
X        ,9
O XOXX XO,7
         ,9
  X  O X ,5
   O   XX,7
O     X  ,3
XX     O ,3
X        ,5
         ,1
X O X O  ,9
O   X    ,4
XXOOX XOO,6
         ,5
X OOX OX ,2
O  O X  X,3
X   OXXOO,4
OX X OXXO,5
O XXOXO  ,9
XO X O OX,7
XO  XO   ,9
X O      ,4
X        ,9
 X  OXOXO,1
O OXOXXX ,2
O   XO  X,7
O  XX    ,3
X        ,7
         ,1
         ,3
 OOX XOX ,5
O O X X  ,2
 X       ,7
  O     X,5
X        ,2
OOXO  X X,6
X   O    ,4
OX       ,4
   OXOOXX,1
         ,1
X  XOO   ,7
XOX XXOO ,9
X        ,7
O   XOXOX,3
         ,9
OX O   XX,7
O OX  X  ,6
OOX X OXX,4
X O   XO ,4
O OX   XX,2
 X O X   ,8
OXX OX   ,9
   X    O,5
       X ,9
 XX    O ,9
     OXX ,9
XXOX    O,6
OOXXX OXO,6
  O  X   ,5
X      O ,7
OXOX OXOX,5
         ,9
O       X,4
 XO X X O,6
   XOXOXO,1
OXXXX OO ,9
   X X  O,7
         ,5
   O    X,6
     OX X,2
O O  XXX ,2
  X OOXX ,4
         ,5
 XXO XOO ,1
XOXXOO   ,7
 OX   OX ,9
 X   O   ,4
         ,5
XOXXOXO O,8
X XO     ,5
         ,1
XOOXOX  X,7
XO XOX XO,3
       X ,9
  OOOXXX ,9
 O   XO X,3
O XX XO  ,5
X X XO OO,2
 OXX X O ,5
 X       ,5
         ,7
         ,4
         ,9
XO    X O,4
X     O  ,3
    XXOOX,1
XOX OXO  ,9
X     O  ,8
XO   X O ,9
         ,1
X        ,5
 OX  OXXO,5
X   O    ,3
  X      ,7
X        ,8
X X     O,7
     OXX ,9
OX OX X O,3
X XO  O  ,2
 X X    O,6
X O     X,4
 X       ,3
OXXXOOXO ,9
OOXX OOXX,5
OXX XXOO ,9
         ,5
 X OX O  ,8
   X     ,5
XO     X ,9
  XO     ,2
XO XOX  O,7
    X    ,1
XO  XXOXO,3
OXOX XX O,5
 OOX X  X,1
 X  OO XX,4
 X OX    ,7
 X X   O ,9
O OXX XXO,6
OXXOX   O,8
 O  XXXOO,3
 X X OOXO,5
O O XXXOX,2
XO XOX  O,7
 XOX  O  ,5
  O OXXX ,9
 X   O   ,3
XOO XX   ,4
 OX XO OX,7
  O OX X ,2
  X    XO,4
 X       ,5
XX OO OX ,3
    XO   ,3
XX O     ,3
  XO X   ,7
 X XOXO  ,3
O OXXOOXX,2
 X  OOX X,4
         ,1
O   OXOXX,3
 XOX OXO ,1
     O X ,5
         ,9
    OXOX ,1
         ,5
O   XOX  ,3
 XX   O  ,1
 O O X  X,3
  OX XO  ,5
O XXO XOX,2
      X  ,8
 XOXO  XO,6
O   O X X,8
XXOO  OX ,5
XXOO XX O,8
 X  XOO  ,8
         ,2
         ,2
       X ,7
 XOX XOOX,5
 OO X X  ,1
      XOX,5
 O OXXO X,3
   XO  XO,1
     OX  ,3
        X,1
    O   X,8
         ,5
 OO OXX X,8
   O X   ,1
 XXOOXX O,1
XOX XOOX ,4
      OX ,1
  O OXXX ,9
 XX OO  X,4
         ,5
         ,5
       X ,5
XXOOO XOX,6
X  OXOX O,3
         ,9
 XXXXOOO ,9
  O    X ,9
X XX O OO,2
 XXOOXOX ,1
         ,6
       X ,9
 X O     ,5
OO X X OX,5
